"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bosnia and Herzegovina","BIH","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.031796863450775","0.0149499895006117","0.0385134840177358","0.0401825099103529","0.0236543767168084","0.0232416883220022","0.00985795496289766","0.0121136013885198","0.0104817112042388","",
"Belize","BLZ","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58069678690139","1.32448365542649","3.28693100547697","3.11746585799943","6.79815174497426","3.90780005511147","5.78728389724936","2.33666935214318","1.21150596258233","1.42640437950964","1.40402815369168","2.55533854166667","2.3927885325846","1.46131805157593","0.465594951923077","1.57524441082905","0.296703893791095","0.458750980686051","0.682054813079863","0.369037173128481","0.230068460018505","3.14453331354564","0.548001516594897","0.680184838673026","0.589751551330814","0.352685952543194","0.317656302615333","0.167771004505698","",
"Bolivia","BOL","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.975715638445593","1.2648289778217","2.88890422320273","5.90444661965793","8.02825051952832","14.9677127693928","10.2559743012189","13.6553022689415","24.6147621007754","20.0139141659896","26.490788430024","14.3491545801231","11.5140775539173","7.723627899879","12.625311627784","16.9855290979534","19.1693049725612","25.2320398144618","46.1979849360913","33.6032480326323","42.4636066145347","41.1135649038776","31.5316211791756","33.7347708387864","29.9123449693159","26.2280086004285","23.3034582936999","31.2459149922376","31.1363196865386","40.1263763339537","55.4493033759648","93.055293746432","85.4573694845596","67.2965897908317","",
"Barbados","BRB","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.213246265060241","0.264950543101456","0.140281296254766","0.260614387883887","0.927399422885572","1.12989196964349","0.345210493515243","1.57215231246936","0.337207398919627","","","","","","","","","0.741533606258897","2.51653638003608","0.346781971672248","0.136590154837746","0.184807545245985","","","","0.219558730003424","0.258186515886241","0.132100953827973","0.00446872905283256","","",
"Brunei Darussalam","BRN","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.704347769051825","0.801378409434049","0.588107009475703","1.12344653040736","1.38295075083976","0.66936975265561","","","","","","","","","","","","","","","","","","","0.9302520462197","0.954148460204952","0.422117442204846","0.819818841696209","0.438111646266914","",
